model,platform,operator_count,ifc_ops,dram_ops,npu_ops,trace_total_ms,trace_ifc_ms,trace_dram_ms,trace_npu_ms,legacy_tpot_ms,trace_delta_pct,trace_weight_bytes,trace_dram_bytes,trace_npu_ops_value,trace_dram_bursts
opt_6_7b,cam_llm_s,416,128,64,224,272.989046,266.304374,6.553600,0.131072,272.989046,0.000000000,6700000000.000000,262144000.000000,262144000.000000,4096000
opt_6_7b,cam_llm_m,416,128,64,224,99.273832,92.589160,6.553600,0.131072,99.273832,0.000000000,6700000000.000000,262144000.000000,262144000.000000,4096000
opt_6_7b,cam_llm_l,416,128,64,224,32.149414,25.464742,6.553600,0.131072,32.149414,0.000000000,6700000000.000000,262144000.000000,262144000.000000,4096000
opt_13b,cam_llm_s,520,160,80,280,532.772034,522.327234,10.240000,0.204800,532.772034,0.000000000,13000000000.000000,409600000.000000,409600000.000000,6400000
opt_13b,cam_llm_m,520,160,80,280,190.055184,179.610384,10.240000,0.204800,190.055184,0.000000000,13000000000.000000,409600000.000000,409600000.000000,6400000
opt_13b,cam_llm_l,520,160,80,280,62.378846,51.934046,10.240000,0.204800,62.378846,0.000000000,13000000000.000000,409600000.000000,409600000.000000,6400000
opt_30b,cam_llm_s,624,192,96,336,1251.778082,1234.230818,17.203200,0.344064,1251.778082,-0.000000000,30000000000.000000,688128000.000000,688128000.000000,10752000
opt_30b,cam_llm_m,624,192,96,336,431.947322,414.400058,17.203200,0.344064,431.947322,0.000000000,30000000000.000000,688128000.000000,688128000.000000,10752000
opt_30b,cam_llm_l,624,192,96,336,148.286643,130.739379,17.203200,0.344064,148.286643,0.000000000,30000000000.000000,688128000.000000,688128000.000000,10752000
opt_66b,cam_llm_s,832,256,128,448,2855.518406,2825.437382,29.491200,0.589824,2855.518406,0.000000000,66000000000.000000,1179648000.000000,1179648000.000000,18432000
opt_66b,cam_llm_m,832,256,128,448,941.697190,911.616166,29.491200,0.589824,941.697190,0.000000000,66000000000.000000,1179648000.000000,1179648000.000000,18432000
opt_66b,cam_llm_l,832,256,128,448,351.743060,321.662036,29.491200,0.589824,351.743060,0.000000000,66000000000.000000,1179648000.000000,1179648000.000000,18432000
llama2_7b,cam_llm_s,416,128,64,224,274.605681,267.921009,6.553600,0.131072,274.605681,0.000000000,6740000000.000000,262144000.000000,262144000.000000,4096000
llama2_7b,cam_llm_m,416,128,64,224,99.865692,93.181020,6.553600,0.131072,99.865692,0.000000000,6740000000.000000,262144000.000000,262144000.000000,4096000
llama2_7b,cam_llm_l,416,128,64,224,32.398615,25.713943,6.553600,0.131072,32.398615,0.000000000,6740000000.000000,262144000.000000,262144000.000000,4096000
llama2_13b,cam_llm_s,520,160,80,280,532.772034,522.327234,10.240000,0.204800,532.772034,0.000000000,13000000000.000000,409600000.000000,409600000.000000,6400000
llama2_13b,cam_llm_m,520,160,80,280,190.055184,179.610384,10.240000,0.204800,190.055184,0.000000000,13000000000.000000,409600000.000000,409600000.000000,6400000
llama2_13b,cam_llm_l,520,160,80,280,62.378846,51.934046,10.240000,0.204800,62.378846,0.000000000,13000000000.000000,409600000.000000,409600000.000000,6400000
llama2_70b,cam_llm_s,1040,320,160,560,2967.342352,2962.590992,4.096000,0.655360,2967.342352,0.000000000,69000000000.000000,163840000.000000,1310720000.000000,2560000
llama2_70b,cam_llm_m,1040,320,160,560,957.876372,953.125012,4.096000,0.655360,957.876372,0.000000000,69000000000.000000,163840000.000000,1310720000.000000,2560000
llama2_70b,cam_llm_l,1040,320,160,560,343.320253,338.568893,4.096000,0.655360,343.320253,0.000000000,69000000000.000000,163840000.000000,1310720000.000000,2560000
