model,platform,opcode,logical_requests,slices,total_commands,path_ms,notes
opt_6_7b,cam_llm_s,READ_COMPUTE,4539.430131,0,4539.430131,272.868052,flash-side tiled weight read-compute
opt_6_7b,cam_llm_s,READ_SLICE,8239.805709,32959.222836,32959.222836,272.868052,NPU-side weight reads carried as sliced channel transfers
opt_6_7b,cam_llm_m,READ_COMPUTE,1137.580599,0,1137.580599,100.404843,flash-side tiled weight read-compute
opt_6_7b,cam_llm_m,READ_SLICE,2057.228361,8228.913444,8228.913444,100.404843,NPU-side weight reads carried as sliced channel transfers
opt_6_7b,cam_llm_l,READ_COMPUTE,285.379422,0,285.379422,31.420149,flash-side tiled weight read-compute
opt_6_7b,cam_llm_l,READ_SLICE,513.322818,2053.291270,2053.291270,31.420149,NPU-side weight reads carried as sliced channel transfers
opt_13b,cam_llm_s,READ_COMPUTE,8807.849507,0,8807.849507,535.213522,flash-side tiled weight read-compute
opt_13b,cam_llm_s,READ_SLICE,15987.682719,63950.730876,63950.730876,535.213522,NPU-side weight reads carried as sliced channel transfers
opt_13b,cam_llm_m,READ_COMPUTE,2207.245938,0,2207.245938,194.815368,flash-side tiled weight read-compute
opt_13b,cam_llm_m,READ_SLICE,3991.637118,15966.548474,15966.548474,194.815368,NPU-side weight reads carried as sliced channel transfers
opt_13b,cam_llm_l,READ_COMPUTE,553.721267,0,553.721267,64.173715,flash-side tiled weight read-compute
opt_13b,cam_llm_l,READ_SLICE,995.999497,3983.997987,3983.997987,64.173715,NPU-side weight reads carried as sliced channel transfers
opt_30b,cam_llm_s,READ_COMPUTE,20325.806556,0,20325.806556,1264.750048,flash-side tiled weight read-compute
opt_30b,cam_llm_s,READ_SLICE,36894.652429,147578.609714,147578.609714,1264.750048,NPU-side weight reads carried as sliced channel transfers
opt_30b,cam_llm_m,READ_COMPUTE,5093.644473,0,5093.644473,449.573926,flash-side tiled weight read-compute
opt_30b,cam_llm_m,READ_SLICE,9211.470273,36845.881093,36845.881093,449.573926,NPU-side weight reads carried as sliced channel transfers
opt_30b,cam_llm_l,READ_COMPUTE,1277.818310,0,1277.818310,161.721470,flash-side tiled weight read-compute
opt_30b,cam_llm_l,READ_SLICE,2298.460377,9193.841508,9193.841508,161.721470,NPU-side weight reads carried as sliced channel transfers
opt_66b,cam_llm_s,READ_COMPUTE,44716.774423,0,44716.774423,2895.322272,flash-side tiled weight read-compute
opt_66b,cam_llm_s,READ_SLICE,81168.235343,324672.941372,324672.941372,2895.322272,NPU-side weight reads carried as sliced channel transfers
opt_66b,cam_llm_m,READ_COMPUTE,11206.017840,0,11206.017840,989.062637,flash-side tiled weight read-compute
opt_66b,cam_llm_m,READ_SLICE,20265.234601,81060.938405,81060.938405,989.062637,NPU-side weight reads carried as sliced channel transfers
opt_66b,cam_llm_l,READ_COMPUTE,2811.200281,0,2811.200281,398.186339,flash-side tiled weight read-compute
opt_66b,cam_llm_l,READ_SLICE,5056.612829,20226.451318,20226.451318,398.186339,NPU-side weight reads carried as sliced channel transfers
llama2_7b,cam_llm_s,READ_COMPUTE,4566.531206,0,4566.531206,274.517892,flash-side tiled weight read-compute
llama2_7b,cam_llm_s,READ_SLICE,8288.998579,33155.994316,33155.994316,274.517892,NPU-side weight reads carried as sliced channel transfers
llama2_7b,cam_llm_m,READ_COMPUTE,1144.372125,0,1144.372125,101.004275,flash-side tiled weight read-compute
llama2_7b,cam_llm_m,READ_SLICE,2069.510321,8278.041286,8278.041286,101.004275,NPU-side weight reads carried as sliced channel transfers
llama2_7b,cam_llm_l,READ_COMPUTE,287.083180,0,287.083180,31.620353,flash-side tiled weight read-compute
llama2_7b,cam_llm_l,READ_SLICE,516.387431,2065.549725,2065.549725,31.620353,NPU-side weight reads carried as sliced channel transfers
llama2_13b,cam_llm_s,READ_COMPUTE,8807.849507,0,8807.849507,535.213522,flash-side tiled weight read-compute
llama2_13b,cam_llm_s,READ_SLICE,15987.682719,63950.730876,63950.730876,535.213522,NPU-side weight reads carried as sliced channel transfers
llama2_13b,cam_llm_m,READ_COMPUTE,2207.245938,0,2207.245938,194.815368,flash-side tiled weight read-compute
llama2_13b,cam_llm_m,READ_SLICE,3991.637118,15966.548474,15966.548474,194.815368,NPU-side weight reads carried as sliced channel transfers
llama2_13b,cam_llm_l,READ_COMPUTE,553.721267,0,553.721267,64.173715,flash-side tiled weight read-compute
llama2_13b,cam_llm_l,READ_SLICE,995.999497,3983.997987,3983.997987,64.173715,NPU-side weight reads carried as sliced channel transfers
llama2_70b,cam_llm_s,READ_COMPUTE,46749.355078,0,46749.355078,3035.888932,flash-side tiled weight read-compute
llama2_70b,cam_llm_s,READ_SLICE,84857.700586,339430.802343,339430.802343,3035.888932,NPU-side weight reads carried as sliced channel transfers
llama2_70b,cam_llm_m,READ_COMPUTE,11715.382287,0,11715.382287,1034.020029,flash-side tiled weight read-compute
llama2_70b,cam_llm_m,READ_SLICE,21186.381629,84745.526515,84745.526515,1034.020029,NPU-side weight reads carried as sliced channel transfers
llama2_70b,cam_llm_l,READ_COMPUTE,2938.982112,0,2938.982112,419.343488,flash-side tiled weight read-compute
llama2_70b,cam_llm_l,READ_SLICE,5286.458867,21145.835469,21145.835469,419.343488,NPU-side weight reads carried as sliced channel transfers
